doc_a,doc_b,cityblock,euclidean,cosine,jaccard,dice,js
863,1155,18.360384347285212,0.3254368883798074,0.639057775822844,0.6543667903339015,0.48628912071535024,0.5945871249726083
863,58866,22.920909629540123,0.5646309331411128,0.8718093661968429,0.7045222713362802,0.5438320209973754,0.6595105641850171
863,61168,36.64425248820938,1.2835507329250824,0.8935853580321893,0.6798851796725495,0.5150197310139325,0.6413660051798429
863,65238,18.8638235708328,0.32287770997597,0.6045036724412705,0.6583172147001934,0.4906653211273697,0.5897853924240897
863,69087,20.551898541740346,0.3828890948485254,0.7058968878374934,0.6751412429378532,0.509594882729211,0.6228522225360978
863,70114,21.14953042305257,0.47377867158753145,0.7568909270108286,0.6542521646305302,0.4861625242376168,0.6125561938079329
863,1661,21.501184604541226,0.4797697619028349,0.7888860478157711,0.6670165616981573,0.5003937352349287,0.6243516332972394
863,2097,35.79948950127132,1.017045527751334,0.8752958405408944,0.6969533275713051,0.5348644391012354,0.6509071795408369
863,3070,44.85419692506772,0.9702198893141092,0.8306529954103592,0.6977600796416128,0.535815304640318,0.6439927333518348
863,3289,40.62454280271623,1.3283035894898647,0.8949566953405026,0.6990250985272765,0.5373086734693877,0.6565347108358915
1155,58866,34.14957078380562,0.9518718932324689,0.8849809954381391,0.7160480467481875,0.5576906868942267,0.6634563920707156
1155,61168,25.66193834445088,0.5586510704809017,0.8368232432481192,0.6881047239612976,0.5245119305856834,0.645910177409606
1155,65238,18.071763698329516,0.5135235107123658,0.8495108694366854,0.6916494541162584,0.5286423094271538,0.6309688896044179
1155,69087,33.52160151824493,1.266603743247921,0.8752235640866375,0.6537591859807801,0.4856183077892085,0.6139948188722656
1155,70114,12.851727760670755,0.21238075093493936,0.44913320052018224,0.5962018544935807,0.4247062559542712,0.5283387430693335
1155,1661,15.896701143224515,0.30244043572223206,0.6210659975418432,0.6535384615384615,0.4853747714808044,0.5884309090928178
1155,2097,16.506742075027574,0.40321041990932915,0.6418223483580117,0.628980396224458,0.4587683461945831,0.5687621592643183
1155,3070,16.783232441174395,0.41533434293652066,0.7151811998260142,0.6448293428425879,0.4758288850462371,0.5886665789019623
1155,3289,32.74954395006311,0.9936347287981037,0.84890203269819,0.6818353831598865,0.5172611784970932,0.6243595574736028
58866,61168,42.24903559417594,0.9450209542542772,0.7779905609159594,0.6694251646200392,0.5031097438641076,0.6146183960852403
58866,65238,37.32499828738467,1.3106544734015104,0.8700116098127537,0.6717036764028379,0.5056881243063263,0.6254682554261471
58866,69087,30.063258967794564,0.9193134031400276,0.8326585775819986,0.6946978335233751,0.5322122734221446,0.627934420091653
58866,70114,21.3843502095453,0.5074048670427095,0.796625161850141,0.6624400958466453,0.4952601328655669,0.6107367495364796
61168,65238,34.93567646353434,1.3340266960545755,0.924008923749304,0.6622797476615184,0.4950809008862509,0.626416943793282
61168,69087,19.025485883149127,0.5170961319272239,0.8423576745102725,0.6964556482183473,0.5342784442021083,0.6302928243498359
