title_short,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
Arthur Conan Doyle 244: A Study in Scarlet,0.0003944597315683075,0.0003326637506155476,0.0002893856250859381,0.00047380683129418866,0.0003146607788006323,0.0004191551455589367,0.00021561101980138765,0.00040105224784215646,-0.0001837228646242147
Arthur Conan Doyle 834: The Memoirs of Sherlock H,0.000160880995872134,0.00013081475846129625,0.00011582477496899723,0.00020864396870920495,0.00012546363161634454,0.00016550741181128718,8.520337531281792e-05,0.00019782653718666848,-4.957779863277946e-05
Agatha Christie 863: The Mysterious Affair at ,0.0002842682584033739,0.00019262825402793023,0.0002790062509488819,0.0003436396340069899,0.00020972432730339324,0.0003005788994188839,0.00012971958498040248,0.0002761788226263778,-0.0002278407671817535
Agatha Christie 1155: The Secret Adversary,0.0004197233018607906,0.00035027407012279486,0.0002950264027959346,0.000513460081043378,0.0003401603773972547,0.00040284394815447735,0.0002438432063456107,0.0005018350937783182,-0.0001370126394549251
Arthur Conan Doyle 1661: The Adventures of Sherloc,0.00014659983617986916,0.00014901524361817398,0.0001131876233544696,0.00019030711445491822,0.0001474912279653164,0.0001655173323857504,8.588641785228753e-05,0.00021472067979959238,-2.9605842270016934e-05
Arthur Conan Doyle 2097: The Sign of the Four,0.0002888010778495443,0.00035251724016309384,0.0002294559490361857,0.00036053573912568155,0.00031385076036096637,0.0003109506505732544,0.00016262322463401192,0.0004073183106843824,-5.9623299167738225e-05
Arthur Conan Doyle 3070: The Hound of the Baskervi,0.0002973457622975236,0.0002265205692677985,0.0002243221826922934,0.0003878080461125197,0.00021613761981946822,0.0003648614070240802,0.0001450831329628246,0.0003426640716513355,-0.00014998479987358306
Arthur Conan Doyle 3289: The Valley of Fear,0.00031650488532651273,0.00022094192613210137,0.00021058992977787675,0.0003996382447240627,0.0002438960362831521,0.0002899324952698589,0.00015357317608384456,0.00036240808408020817,-8.225883266445827e-05
Agatha Christie 58866: The Murder on the Links,0.0004903518460543736,0.00037180092626675794,0.0003245116860025873,0.0005857773360359131,0.0003813507612570896,0.0005034822549832646,0.00023653284027963257,0.000482545149706786,-0.0002576866818808523
Agatha Christie 61168: The Man in the Brown Suit,0.0005827509825376686,0.0004482438769076567,0.0003781896015914739,0.0006360757441948988,0.000464633209372886,0.0005869958228626145,0.00028066432158836875,0.0006526991907794205,-0.0001571627747592467
Agatha Christie 65238: The Secret of Chimneys,0.0005240737607095518,0.00037687795523160585,0.00032591318799967485,0.0004491595225817908,0.0004638508683947674,0.00037787917200034953,0.00025189073586182655,0.0006141118127742499,-2.603228474758963e-05
Agatha Christie 69087: The Murder of Roger Ackro,0.0003878238266198617,0.0003382273613756462,0.00027029468929365647,0.00046173883624695374,0.00033079865004016464,0.0004102921629044054,0.00022772851485103042,0.0004950494099222244,-8.16538963278376e-05
Agatha Christie 70114: The Big Four,0.0003257913013148038,0.0002988751106485382,0.0002517184589066141,0.00045623925036919645,0.00030060282384036444,0.0003653086170957991,0.0002081261017714191,0.0003849327049385569,-0.0001272343776477267
